label,repo,file_path,line,algorithm,severity,confidence,is_test_code,context,code_snippet,repo_url,notes
?,bc-java,core/src/main/j2me/java/security/SecureRandom.java,12,SHA-1,HIGH,0.95,False,SHA-1 is used as the primary digest algorithm in DigestRandomGenerator instances (sha1Generator) for the default SecureR,"* 1.0, and the J2ME. Random generation is based on the traditional SHA1 with",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/j2me/org/bouncycastle/crypto/CryptoServicesRegistrar.java,50,DSA,CRITICAL,0.92,False,Static initializer block registers default DSA domain parameters (512-bit and 768-bit) for use across cryptographic serv,// default domain parameters for DSA and Diffie-Hellman,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/j2me/org/bouncycastle/crypto/examples/MIDPTest.java,39,3DES,HIGH,0.85,True,DESede (Triple-DES/3DES) is listed as a selectable cipher option in the cipherNames array used for symmetric encryption ,"private String[]            cipherNames = {""DES"", ""DESede"", ""IDEA"", ""Rijndael"", ""Twofish""};",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/bc/BCObjectIdentifiers.java,388,ECDSA,CRITICAL,0.7,False,,/** 2.16.840.1.114027.80.9.1.8 id-MLDSA65-ECDSA-P256-SHA512 */,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/bc/BCObjectIdentifiers.java,390,ECDSA,CRITICAL,0.7,False,,/** 2.16.840.1.114027.80.9.1.9 id-MLDSA65-ECDSA-P384-SHA512 */,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/bc/BCObjectIdentifiers.java,392,ECDSA,CRITICAL,0.7,False,,/** 2.16.840.1.114027.80.9.1.10 id-MLDSA65-ECDSA-brainpoolP256r1-SHA512 */,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/bc/BCObjectIdentifiers.java,394,Ed25519,CRITICAL,0.7,False,,/** 2.16.840.1.114027.80.9.1.11 id-MLDSA65-Ed25519-SHA512 */,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/bc/BCObjectIdentifiers.java,396,ECDSA,CRITICAL,0.7,False,,/** 2.16.840.1.114027.80.9.1.12 id-MLDSA87-ECDSA-P384-SHA512 */,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/bc/BCObjectIdentifiers.java,398,ECDSA,CRITICAL,0.7,False,,/** 2.16.840.1.114027.80.9.1.13 id-MLDSA87-ECDSA-brainpoolP384r1-SHA512 */,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/bc/BCObjectIdentifiers.java,400,Ed25519,CRITICAL,0.7,False,,/** 2.16.840.1.114027.80.9.1.14 id-MLDSA87-Ed448-SHAKE256 */,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/bc/BCObjectIdentifiers.java,406,ECDSA,CRITICAL,0.7,False,,/** 2.16.840.1.114027.80.9.1.17 id-MLDSA87-ECDSA-P521-SHA512 */,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/nist/NISTNamedCurves.java,39,ECDSA,CRITICAL,0.7,False,,"defineCurve(""P-521"", SECObjectIdentifiers.secp521r1);",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/nist/NISTNamedCurves.java,40,ECDSA,CRITICAL,0.7,False,,"defineCurve(""P-384"", SECObjectIdentifiers.secp384r1);",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/nist/NISTNamedCurves.java,41,ECDSA,CRITICAL,0.7,False,,"defineCurve(""P-256"", SECObjectIdentifiers.secp256r1);",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/nist/NISTObjectIdentifiers.java,226,PKCS1v15,HIGH,0.85,False,"This line defines and exports a production ASN.1 OID constant for RSA PKCS#1 v1.5 signatures with SHA3-224, making it av","static final ASN1ObjectIdentifier    id_rsassa_pkcs1_v1_5_with_sha3_224       = sigAlgs.branch(""13"")",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/nist/NISTObjectIdentifiers.java,228,PKCS1v15,HIGH,0.85,False,"This line defines and exports a production ASN.1 OID constant for RSA PKCS#1 v1.5 signatures with SHA3-256, used by the ","static final ASN1ObjectIdentifier    id_rsassa_pkcs1_v1_5_with_sha3_256       = sigAlgs.branch(""14"")",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/nist/NISTObjectIdentifiers.java,230,PKCS1v15,HIGH,0.85,False,"This line defines and exports a production ASN.1 OID constant for RSA PKCS#1 v1.5 signatures with SHA3-384, used by the ","static final ASN1ObjectIdentifier    id_rsassa_pkcs1_v1_5_with_sha3_384       = sigAlgs.branch(""15"")",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/nist/NISTObjectIdentifiers.java,232,PKCS1v15,HIGH,0.7,False,This line defines and exports a production ASN.1,"static final ASN1ObjectIdentifier    id_rsassa_pkcs1_v1_5_with_sha3_512       = sigAlgs.branch(""16"")",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/nist/NISTObjectIdentifiers.java,234,DSA,CRITICAL,0.7,False,,"// ""pure"" ML-DSA",https://github.com/AnimeshShaw/bc-java,
