label,repo,file_path,line,algorithm,severity,confidence,is_test_code,context,code_snippet,repo_url,notes,enrichment_source
?,bc-java,core/src/main/java/org/bouncycastle/crypto/generators/RSABlindingFactorGenerator.java,48,RSA,CRITICAL,0.92,False,This is a runtime enforcement check that validates the generator is initialized with an RSA public key (RSAKeyParameters,"throw new IllegalArgumentException(""generator requires RSA public key"");",https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,pg/src/main/jdk1.5/org/bouncycastle/openpgp/operator/jcajce/JcaPGPKeyConverter.java,566,X25519,CRITICAL,0.7,False,,case PublicKeyAlgorithmTags.X25519:,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,core/src/main/java/org/bouncycastle/crypto/generators/Ed25519KeyPairGenerator.java,11,Ed25519,CRITICAL,0.85,False,Import statement for Ed25519PrivateKeyParameters class used in production key generation logic.,import org.bouncycastle.crypto.params.Ed25519PrivateKeyParameters;,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,prov/src/main/jdk1.11/org/bouncycastle/jcajce/provider/asymmetric/edec/KeyPairGeneratorSpi.java,305,X25519,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,public static final class X25519,https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,prov/src/main/java/org/bouncycastle/jcajce/provider/util/DigestFactory.java,36,MD5,HIGH,0.7,False,Regex match — AI enrichment unavailable,"md5.add(""MD5"");",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,pkix/src/main/java/org/bouncycastle/operator/DefaultAlgorithmNameFinder.java,157,PKCS1v15,HIGH,0.7,False,,"addAlgorithm(NISTObjectIdentifiers.id_rsassa_pkcs1_v1_5_with_sha3_224, ""SHA3-224WITHRSA"");",https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,prov/src/main/java/org/bouncycastle/jcajce/provider/asymmetric/compositesignatures/CompositeIndex.java,53,RSA,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,"kpgInitSpecs.put(MiscObjectIdentifiers.id_HashMLDSA65_RSA4096_PSS_SHA512, new AlgorithmParameterSpec",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,pg/src/main/java/org/bouncycastle/openpgp/PGPUtil.java,48,SHA-1,HIGH,0.9,False,"SHA-1 is registered in the nameToHashId lookup map, enabling callers to resolve 'sha1' string to its HashAlgorithmTags c","put(""sha1"", Integers.valueOf(HashAlgorithmTags.SHA1));",https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,core/src/main/java/org/bouncycastle/math/ec/custom/sec/SecP256K1Point.java,163,ECDSA,CRITICAL,0.7,False,,SecP256K1FieldElement Y1 = (SecP256K1FieldElement)this.y;,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,tls/src/main/java/org/bouncycastle/tls/crypto/impl/jcajce/JceDefaultTlsCredentialedDecryptor.java,48,RSA,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,"if (privateKey instanceof RSAPrivateKey || ""RSA"".equals(privateKey.getAlgorithm()))",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,pg/src/main/java/org/bouncycastle/openpgp/operator/bc/BcImplProvider.java,108,Ed25519,CRITICAL,0.7,False,,case PublicKeyAlgorithmTags.Ed448:,https://github.com/AnimeshShaw/bc-java,,AI-enriched
