label,repo,file_path,line,algorithm,severity,confidence,is_test_code,context,code_snippet,repo_url,notes,enrichment_source
?,python-ecdsa,diff-instrumental.py,36,ECDSA,CRITICAL,0.85,False,The string literal 'ecdsa' is used as a filter prefix to select and process only ECDSA-related coverage lines from stdin,"if not line.startswith(""ecdsa""):",https://github.com/AnimeshShaw/python-ecdsa,,AI-enriched
?,python-rsa,rsa/__init__.py,25,RSA,CRITICAL,0.95,False,"This import block exposes RSA PKCS#1 encryption, decryption, signing, and verification functions as the primary public A",from rsa.pkcs1 import (,https://github.com/AnimeshShaw/python-rsa,,AI-enriched
?,python-ecdsa,src/ecdsa/test_pyecdsa.py,1425,ECDSA,CRITICAL,0.7,True,,"""prime256v1"" not in OPENSSL_SUPPORTED_CURVES,",https://github.com/AnimeshShaw/python-ecdsa,,AI-enriched
?,bc-java,mls/src/main/java/org/bouncycastle/mls/crypto/MlsCipherSuite.java,75,Ed25519,CRITICAL,0.95,False,Production instantiation of an MlsCipherSuite using Ed25519 as the signing algorithm via BcMlsSigner for the MLS_128_DHK,public static final MlsCipherSuite BCMLS_128_DHKEMX25519_AES128GCM_SHA256_Ed25519 = new MlsCipherSui,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,python-ecdsa,src/ecdsa/curves.py,342,ECDSA,CRITICAL,0.7,False,,"ecdsa.curve_256,",https://github.com/AnimeshShaw/python-ecdsa,,AI-enriched
?,python-ecdsa,src/ecdsa/test_keys.py,668,Ed25519,CRITICAL,0.7,True,,"Ed25519,",https://github.com/AnimeshShaw/python-ecdsa,,AI-enriched
?,python-jose,jose/backends/rsa_backend.py,176,RSA,CRITICAL,0.7,False,,"if not jwk_dict.get(""kty"") == ""RSA"":",https://github.com/AnimeshShaw/python-jose,,AI-enriched
?,python-rsa,rsa/pkcs1_v2.py,21,RSA,CRITICAL,0.85,False,"Production import of RSA library modules (common, pkcs1, transform) used to implement PKCS#1 v2 OAEP encryption and MGF1",from rsa import (,https://github.com/AnimeshShaw/python-rsa,,AI-enriched
?,bc-java,prov/src/main/java/org/bouncycastle/jcajce/provider/asymmetric/DH.java,43,DH,HIGH,0.7,False,Regex match — AI enrichment unavailable,"provider.addAlgorithm(""Alg.Alias.KeyFactory.DIFFIEHELLMAN"", ""DH"");",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,python-ecdsa,src/ecdsa/test_pyecdsa.py,1409,ECDSA,CRITICAL,0.7,True,,"""prime256v1"" not in OPENSSL_SUPPORTED_CURVES,",https://github.com/AnimeshShaw/python-ecdsa,,AI-enriched
?,python-ecdsa,src/ecdsa/test_pyecdsa.py,1981,ECDSA,CRITICAL,0.7,True,,"generator=SECP256k1.generator,",https://github.com/AnimeshShaw/python-ecdsa,,AI-enriched
?,node-jsonwebtoken,lib/validateAsymmetricKey.js,11,ECDSA,CRITICAL,0.9,False,"ES256 is mapped to the NIST P-256 curve (prime256v1) in the allowedCurves table, and this mapping is actively enforced a","ES256: 'prime256v1',",https://github.com/AnimeshShaw/node-jsonwebtoken,,AI-enriched
?,python-ecdsa,src/ecdsa/test_keys.py,566,HARDCODED_KEY,CRITICAL,0.7,True,,"""-----BEGIN PRIVATE KEY-----\n""",https://github.com/AnimeshShaw/python-ecdsa,,AI-enriched
